kernel_shape,kernel_size_reference_px,reference_resolution,applied_sizes,exact_scaled_sizes,group_type,group,instances,erased,erased_frac,note
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,all,all,23883,501,0.020977,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,resolution,1920x1080,18730,501,0.026749,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,resolution,3840x2160,5153,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,gopro_fisheye,9311,501,0.053807,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,industrial,5879,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,lake,1154,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,meadow,4812,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,seaside,2727,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,split,train,18624,487,0.026149,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,split,val,5259,14,0.002662,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,all,all,23883,3196,0.133819,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,resolution,1920x1080,18730,3003,0.160331,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,resolution,3840x2160,5153,193,0.037454,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,gopro_fisheye,9311,2995,0.321663,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,industrial,5879,194,0.032999,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,lake,1154,6,0.005199,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,meadow,4812,1,0.000208,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,seaside,2727,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,split,train,18624,2874,0.154317,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,split,val,5259,322,0.061228,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,all,all,23883,5392,0.225767,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,resolution,1920x1080,18730,5012,0.267592,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,resolution,3840x2160,5153,380,0.073743,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,gopro_fisheye,9311,4606,0.494684,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,industrial,5879,480,0.081647,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,lake,1154,136,0.117851,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,meadow,4812,3,0.000623,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,seaside,2727,167,0.061239,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,split,train,18624,4897,0.26294,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,split,val,5259,495,0.094124,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,all,all,23883,8172,0.342168,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,resolution,1920x1080,18730,7496,0.400214,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,resolution,3840x2160,5153,676,0.131186,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,gopro_fisheye,9311,5824,0.625497,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,industrial,5879,1109,0.188638,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,lake,1154,243,0.210572,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,meadow,4812,415,0.086243,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,seaside,2727,581,0.213055,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,split,train,18624,7312,0.392612,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,split,val,5259,860,0.163529,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,all,all,23883,10558,0.442072,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,resolution,1920x1080,18730,9467,0.505446,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,resolution,3840x2160,5153,1091,0.211721,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,scene,gopro_fisheye,9311,6713,0.720975,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,scene,industrial,5879,1736,0.295288,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,scene,lake,1154,282,0.244367,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,scene,meadow,4812,1027,0.213425,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,scene,seaside,2727,800,0.293363,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,split,train,18624,9222,0.495168,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,split,val,5259,1336,0.254041,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,all,all,23883,12237,0.512373,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,resolution,1920x1080,18730,10802,0.576722,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,resolution,3840x2160,5153,1435,0.278479,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,scene,gopro_fisheye,9311,7312,0.785308,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,scene,industrial,5879,2120,0.360606,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,scene,lake,1154,313,0.271231,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,scene,meadow,4812,1501,0.311929,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,scene,seaside,2727,991,0.363403,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,split,train,18624,10404,0.558634,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
rect,15,1920x1080,1920x1080:15;3840x2160:29,1920x1080:15.00;3840x2160:30.00,split,val,5259,1833,0.348545,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,all,all,23883,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,resolution,1920x1080,18730,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,resolution,3840x2160,5153,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,gopro_fisheye,9311,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,industrial,5879,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,lake,1154,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,meadow,4812,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,scene,seaside,2727,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,split,train,18624,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,3,1920x1080,1920x1080:3;3840x2160:5,1920x1080:3.00;3840x2160:6.00,split,val,5259,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,all,all,23883,501,0.020977,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,resolution,1920x1080,18730,501,0.026749,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,resolution,3840x2160,5153,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,gopro_fisheye,9311,501,0.053807,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,industrial,5879,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,lake,1154,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,meadow,4812,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,scene,seaside,2727,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,split,train,18624,487,0.026149,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,5,1920x1080,1920x1080:5;3840x2160:9,1920x1080:5.00;3840x2160:10.00,split,val,5259,14,0.002662,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,all,all,23883,3196,0.133819,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,resolution,1920x1080,18730,3003,0.160331,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,resolution,3840x2160,5153,193,0.037454,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,gopro_fisheye,9311,2995,0.321663,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,industrial,5879,194,0.032999,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,lake,1154,6,0.005199,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,meadow,4812,1,0.000208,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,scene,seaside,2727,0,0.0,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,split,train,18624,2874,0.154317,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,7,1920x1080,1920x1080:7;3840x2160:13,1920x1080:7.00;3840x2160:14.00,split,val,5259,322,0.061228,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,all,all,23883,5392,0.225767,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,resolution,1920x1080,18730,5012,0.267592,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,resolution,3840x2160,5153,380,0.073743,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,gopro_fisheye,9311,4606,0.494684,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,industrial,5879,480,0.081647,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,lake,1154,136,0.117851,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,meadow,4812,3,0.000623,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,scene,seaside,2727,167,0.061239,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,split,train,18624,4897,0.26294,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,9,1920x1080,1920x1080:9;3840x2160:17,1920x1080:9.00;3840x2160:18.00,split,val,5259,495,0.094124,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,all,all,23883,8172,0.342168,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,resolution,1920x1080,18730,7496,0.400214,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,resolution,3840x2160,5153,676,0.131186,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,gopro_fisheye,9311,5824,0.625497,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,industrial,5879,1109,0.188638,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,lake,1154,243,0.210572,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,meadow,4812,415,0.086243,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,scene,seaside,2727,581,0.213055,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,split,train,18624,7312,0.392612,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,11,1920x1080,1920x1080:11;3840x2160:21,1920x1080:11.00;3840x2160:22.00,split,val,5259,860,0.163529,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
ellipse,13,1920x1080,1920x1080:13;3840x2160:25,1920x1080:13.00;3840x2160:26.00,all,all,23883,10558,0.442072,"frame-area-normalised grid, the one the pipeline applies; solid-rectangle assumption so this is a LOWER bound on real erasure"
