kernel_shape,kernel_size,group_type,group,instances,erased,erased_frac,note
rect,9,scene,lake,1154,136,0.117851,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,scene,meadow,4812,3,0.000623,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,scene,seaside,2727,167,0.061239,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,split,train,18624,4747,0.254886,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,9,split,val,5259,265,0.05039,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,all,all,23883,7535,0.315496,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,resolution,1920x1080,18730,7496,0.400214,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,resolution,3840x2160,5153,39,0.007568,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,scene,gopro_fisheye,9311,5824,0.625497,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,scene,industrial,5879,472,0.080286,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,scene,lake,1154,243,0.210572,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,scene,meadow,4812,415,0.086243,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,scene,seaside,2727,581,0.213055,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,split,train,18624,7081,0.380208,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,11,split,val,5259,454,0.086328,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,all,all,23883,9660,0.404472,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,resolution,1920x1080,18730,9467,0.505446,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,resolution,3840x2160,5153,193,0.037454,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,scene,gopro_fisheye,9311,6713,0.720975,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,scene,industrial,5879,838,0.142541,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,scene,lake,1154,282,0.244367,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,scene,meadow,4812,1027,0.213425,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,scene,seaside,2727,800,0.293363,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,split,train,18624,8710,0.467676,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,13,split,val,5259,950,0.180643,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,all,all,23883,11085,0.464138,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,resolution,1920x1080,18730,10802,0.576722,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,resolution,3840x2160,5153,283,0.054919,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,scene,gopro_fisheye,9311,7312,0.785308,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,scene,industrial,5879,968,0.164654,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,scene,lake,1154,313,0.271231,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,scene,meadow,4812,1501,0.311929,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,scene,seaside,2727,991,0.363403,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,split,train,18624,9696,0.520619,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
rect,15,split,val,5259,1389,0.264119,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,all,all,23883,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,resolution,1920x1080,18730,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,scene,gopro_fisheye,9311,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,scene,industrial,5879,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,scene,lake,1154,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,scene,meadow,4812,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,split,train,18624,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,3,split,val,5259,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,all,all,23883,501,0.020977,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,resolution,1920x1080,18730,501,0.026749,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,scene,gopro_fisheye,9311,501,0.053807,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,scene,industrial,5879,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,scene,lake,1154,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,scene,meadow,4812,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,split,train,18624,487,0.026149,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,5,split,val,5259,14,0.002662,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,all,all,23883,3003,0.125738,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,resolution,1920x1080,18730,3003,0.160331,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,scene,gopro_fisheye,9311,2995,0.321663,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,scene,industrial,5879,1,0.00017,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,scene,lake,1154,6,0.005199,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,scene,meadow,4812,1,0.000208,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,split,train,18624,2823,0.151579,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,7,split,val,5259,180,0.034227,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,all,all,23883,5012,0.209856,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,resolution,1920x1080,18730,5012,0.267592,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,scene,gopro_fisheye,9311,4606,0.494684,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,scene,industrial,5879,100,0.01701,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,scene,lake,1154,136,0.117851,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,scene,meadow,4812,3,0.000623,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,scene,seaside,2727,167,0.061239,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,split,train,18624,4747,0.254886,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,9,split,val,5259,265,0.05039,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,all,all,23883,7535,0.315496,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,resolution,1920x1080,18730,7496,0.400214,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,resolution,3840x2160,5153,39,0.007568,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,scene,gopro_fisheye,9311,5824,0.625497,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,scene,industrial,5879,472,0.080286,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,scene,lake,1154,243,0.210572,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,scene,meadow,4812,415,0.086243,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,scene,seaside,2727,581,0.213055,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,split,train,18624,7081,0.380208,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,11,split,val,5259,454,0.086328,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,all,all,23883,9660,0.404472,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,resolution,1920x1080,18730,9467,0.505446,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,resolution,3840x2160,5153,193,0.037454,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,scene,gopro_fisheye,9311,6713,0.720975,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,scene,industrial,5879,838,0.142541,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,scene,lake,1154,282,0.244367,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,scene,meadow,4812,1027,0.213425,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,scene,seaside,2727,800,0.293363,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,split,train,18624,8710,0.467676,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,13,split,val,5259,950,0.180643,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,all,all,23883,11085,0.464138,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,resolution,1920x1080,18730,10802,0.576722,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,resolution,3840x2160,5153,283,0.054919,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,scene,gopro_fisheye,9311,7312,0.785308,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,scene,industrial,5879,968,0.164654,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,scene,lake,1154,313,0.271231,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,scene,meadow,4812,1501,0.311929,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,scene,seaside,2727,991,0.363403,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,split,train,18624,9696,0.520619,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
ellipse,15,split,val,5259,1389,0.264119,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,all,all,23883,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,resolution,1920x1080,18730,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,scene,gopro_fisheye,9311,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,scene,industrial,5879,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,scene,lake,1154,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,scene,meadow,4812,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,split,train,18624,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,3,split,val,5259,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,all,all,23883,501,0.020977,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,resolution,1920x1080,18730,501,0.026749,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,scene,gopro_fisheye,9311,501,0.053807,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,scene,industrial,5879,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,scene,lake,1154,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,scene,meadow,4812,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,split,train,18624,487,0.026149,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,5,split,val,5259,14,0.002662,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,all,all,23883,3003,0.125738,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,resolution,1920x1080,18730,3003,0.160331,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,scene,gopro_fisheye,9311,2995,0.321663,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,scene,industrial,5879,1,0.00017,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,scene,lake,1154,6,0.005199,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,scene,meadow,4812,1,0.000208,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,scene,seaside,2727,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,split,train,18624,2823,0.151579,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,7,split,val,5259,180,0.034227,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,all,all,23883,5012,0.209856,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,resolution,1920x1080,18730,5012,0.267592,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,resolution,3840x2160,5153,0,0.0,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,scene,gopro_fisheye,9311,4606,0.494684,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,scene,industrial,5879,100,0.01701,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,scene,lake,1154,136,0.117851,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,scene,meadow,4812,3,0.000623,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,scene,seaside,2727,167,0.061239,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,split,train,18624,4747,0.254886,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,9,split,val,5259,265,0.05039,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,all,all,23883,7535,0.315496,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,resolution,1920x1080,18730,7496,0.400214,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,resolution,3840x2160,5153,39,0.007568,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,scene,gopro_fisheye,9311,5824,0.625497,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,scene,industrial,5879,472,0.080286,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,scene,lake,1154,243,0.210572,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,scene,meadow,4812,415,0.086243,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,scene,seaside,2727,581,0.213055,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,split,train,18624,7081,0.380208,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,11,split,val,5259,454,0.086328,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,all,all,23883,9660,0.404472,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,resolution,1920x1080,18730,9467,0.505446,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,resolution,3840x2160,5153,193,0.037454,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,scene,gopro_fisheye,9311,6713,0.720975,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,scene,industrial,5879,838,0.142541,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,scene,lake,1154,282,0.244367,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,scene,meadow,4812,1027,0.213425,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,scene,seaside,2727,800,0.293363,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,split,train,18624,8710,0.467676,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,13,split,val,5259,950,0.180643,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,all,all,23883,11085,0.464138,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,resolution,1920x1080,18730,10802,0.576722,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,resolution,3840x2160,5153,283,0.054919,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,scene,gopro_fisheye,9311,7312,0.785308,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,scene,industrial,5879,968,0.164654,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,scene,lake,1154,313,0.271231,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,scene,meadow,4812,1501,0.311929,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,scene,seaside,2727,991,0.363403,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,split,train,18624,9696,0.520619,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
cross,15,split,val,5259,1389,0.264119,"solid-rectangle assumption, so this is a LOWER bound on real erasure"
